iter	Passed	Remaining
762	6074	1886
763	6083	1879
764	6089	1870
765	6097	1862
766	6103	1854
767	6108	1845
768	6114	1836
769	6120	1828
770	6125	1819
771	6133	1811
772	6139	1803
773	6145	1794
774	6151	1785
775	6156	1777
776	6162	1768
777	6167	1759
778	6174	1751
779	6182	1743
780	6188	1735
781	6198	1727
782	6204	1719
783	6211	1711
784	6220	1703
785	6226	1695
786	6232	1686
787	6237	1678
788	6242	1669
789	6248	1661
790	6254	1652
791	6260	1644
792	6266	1635
793	6272	1627
794	6277	1618
795	6284	1610
796	6291	1602
797	6296	1593
798	6304	1585
799	6309	1577
800	6314	1568
801	6321	1560
802	6326	1552
803	6334	1544
804	6339	1535
805	6344	1527
806	6352	1519
807	6357	1510
808	6362	1502
809	6368	1493
810	6375	1485
811	6381	1477
812	6392	1470
813	6398	1462
814	6407	1454
815	6416	1446
816	6422	1438
817	6435	1431
818	6443	1424
819	6452	1416
820	6460	1408
821	6471	1401
822	6480	1393
823	6487	1385
824	6500	1378
825	6505	1370
826	6511	1362
827	6516	1353
828	6521	1345
829	6526	1336
830	6533	1328
831	6542	1321
832	6550	1313
833	6556	1304
834	6564	1297
835	6570	1288
836	6579	1281
837	6592	1274
838	6598	1266
839	6606	1258
840	6613	1250
841	6618	1241
842	6625	1233
843	6632	1225
844	6637	1217
845	6644	1209
846	6649	1201
847	6656	1193
848	6662	1184
849	6670	1177
850	6679	1169
851	6684	1161
852	6689	1152
853	6694	1144
854	6703	1136
855	6710	1128
856	6715	1120
857	6720	1112
858	6725	1103
859	6731	1095
860	6738	1087
861	6745	1079
862	6751	1071
863	6758	1063
864	6765	1055
865	6774	1048
866	6781	1040
867	6787	1032
868	6794	1024
869	6801	1016
870	6807	1008
871	6814	1000
872	6820	992
873	6827	984
874	6832	976
875	6838	967
876	6845	960
877	6852	952
878	6857	944
879	6863	935
880	6869	927
881	6874	919
882	6879	911
883	6884	903
884	6889	895
885	6896	887
886	6902	879
887	6907	871
888	6912	863
889	6917	854
890	6922	846
891	6928	838
892	6934	830
893	6939	822
894	6944	814
895	6949	806
896	6956	798
897	6962	790
898	6967	782
899	6973	774
900	6979	766
901	6992	759
902	7001	752
903	7006	744
904	7013	736
905	7021	728
906	7026	720
907	7031	712
908	7036	704
909	7042	696
910	7047	688
911	7053	680
912	7061	672
913	7065	664
914	7075	657
915	7080	649
916	7085	641
917	7091	633
918	7095	625
919	7101	617
920	7109	609
921	7114	601
922	7120	593
923	7127	586
924	7132	578
925	7137	570
926	7146	562
927	7154	555
928	7160	547
929	7169	539
930	7181	532
931	7187	524
932	7195	516
933	7201	508
934	7211	501
935	7220	493
936	7225	485
937	7231	477
938	7236	470
939	7242	462
